GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A00AA,A08AA,A08AB,D08AA,D08AB,AR9AA,B58AA,B58AB,B58AC,B58AD,B58AE,B58AF,B58AG,B58AH,B58AI,B58AJ,B58AK,B58AL,B58AM,B58AN,B58AO,B58AP,B58AQ,B58AR,B58AS,B58AT,B58AU,B58AV,B58AW,B58AX,B58AY,B58AZ,B58BA,B58BB,B58BC,B58BD,B58BE,B58BF,B58BG,B58BH,B58BI,B58BJ,B18AA,B18AB,B18AC,B18AD,B18AE,AS9AA,AS9AB,A39AA,A39AB,A39AC,A39AD,A39AE,A39AF,A39AG,A39AH,A39AI,A39AJ,A39AK,A39AL,A39AM,A39AN,A39AO,A39AP,CQ9AA,CR1AA,CR3AA,CR3AB,A68AA,CL5AA,AG4AA,AG4AB,AG4AC,AG4AD,AG4AE,AG4AF,AG4AG,AG4AH,AG4AI,AG4AJ,AG4AK,AG4AL
"G310","1970","Nebraska","31","310","Nebraska",1483493,724455,759038,507491,976002,,61188,74811,78362,44045,27332,12111,11064,31992,44302,38583,78663,77411,34605,13658,18079,46763,25454,6032,59034,72417,74607,43027,28771,13643,12864,33013,44751,39348,80418,79552,37183,14631,20502,58458,36510,10309,1432867,39911,6624,4091,,697706,733478,120036,146804,151871,85517,42926,20016,20047,61478,164711,157426,154984,70601,27799,37748,101965,67255,504228,169220,,,372430,1309556,184343,90875,93468,149723,3723,1286,2437,7685,14981,5823,9158,13705
"G320","1970","Nevada","32","320","Nevada",488738,247798,240940,170149,318589,,22266,25784,25101,13385,6859,3671,3923,11673,18614,17408,31987,30103,12305,4194,5219,10800,3710,796,21578,24868,24459,12708,7233,3745,3901,12162,18868,16712,30496,28719,11366,3789,4674,10291,4280,1091,448177,27762,7933,4866,,240160,238379,43716,50483,49241,25666,12715,6269,6801,22462,70524,61707,58164,23369,7866,9744,20665,9147,169106,29812,,,123891,429914,60561,30891,29670,47673,1954,574,1380,2000,8342,3323,5019,3640
"G330","1970","New Hampshire","33","330","New Hampshire",737681,360672,377009,254211,483470,,33535,38314,37977,20304,13884,6397,5993,16158,24070,20402,40195,39814,16784,6348,8447,20731,9227,2092,31821,36607,36022,19631,13445,6432,6309,17233,24365,20433,41241,41502,18541,7181,9884,26852,15159,4351,733106,2505,361,1709,,344662,362595,65171,74441,73322,39420,18937,9017,9471,31036,87765,80384,80195,34623,13204,17896,45782,26593,252354,72375,,,182832,653299,92203,48853,43350,69277,2336,773,1563,3785,8178,2939,5239,8046
"G340","1970","New Jersey","34","340","New Jersey",7168164,3467373,3700791,2384845,4783319,,300530,354242,361478,199766,110488,50023,46233,145603,221527,194658,426243,440662,182908,64791,82932,188408,80209,16672,288696,338406,348931,192796,108781,53360,52886,161093,241637,208817,453178,476419,197769,71588,94734,251461,129001,31238,6349908,770292,4706,43258,,3378768,3642528,588163,690796,707136,387764,193118,90062,89105,293419,854062,870418,907603,375628,134245,174695,429418,235664,2373859,665082,,,1833423,6546024,890058,421697,468361,685283,17260,5268,11992,44203,102406,38515,63891,99599
"G350","1970","New Mexico","35","350","New Mexico",1016000,500824,515176,406216,609784,,48940,60547,61956,34147,18554,8646,8518,23519,31753,28565,56567,49667,20401,7204,9463,21086,9247,2044,47719,58669,60864,33374,19089,9030,8787,24195,33404,31004,59497,52103,21327,7730,10150,23902,11360,2972,915815,19555,72788,7842,,484492,507172,96424,118725,122027,66548,31691,14631,14766,44425,122574,114980,100989,41365,14819,19380,44246,24074,403724,68320,,,241819,932818,129549,64549,65000,78182,4254,1500,2754,4433,17123,6838,10285,9199
"G360","1970","New York","36","360","New York",18236967,8715339,9521628,5841275,12395692,,758348,857010,872857,489349,290122,130614,122278,380310,584775,500086,1032951,1035229,457032,172647,225541,531038,227970,47182,728395,822025,838787,474504,309204,155300,151147,442727,641434,538278,1119541,1159160,522590,198178,265796,713395,354446,86721,15834090,2168949,28355,205573,,8475724,9299512,1482644,1671880,1698199,948705,513404,248476,246557,794433,2226323,2122664,2162948,962365,363358,480618,1206778,645884,5801428,1852662,,,4584616,16124830,2110358,1027274,1083084,1736110,48592,15875,32717,121274,315066,128838,186228,278238
"G370","1970","North Carolina","37","370","North Carolina",5082059,2488367,2593692,1759042,3323017,,222951,252169,264883,156134,113216,56195,51311,129934,171973,144593,283682,269836,111292,39926,50280,114098,45740,10154,214194,242630,255836,150245,99919,49921,47704,129007,174732,152608,305405,292212,125821,47113,62217,154444,71189,18495,3901767,1126478,44406,9408,,2358935,2534178,436089,492572,515733,299301,159037,76309,76806,238324,632968,582001,555375,234006,85820,110900,263031,134841,1743695,397872,,,1286452,4609160,630185,303683,326502,465666,16288,5303,10985,25839,77870,26116,51754,76618
"G380","1970","North Dakota","38","380","North Dakota",617761,311609,306152,226350,391411,,26329,32744,35855,20644,12406,5855,5509,14024,17823,15202,32210,32409,15652,5959,7924,18980,9745,2339,25009,31476,34479,19814,11905,5482,5134,12763,16780,15647,31988,31538,15271,5771,7791,20184,11791,3329,599485,2494,14369,1413,,295911,294597,51246,64003,69956,40012,16854,7909,8294,24278,64107,63285,63005,30303,11522,15343,37742,22649,225217,60391,,,147058,546490,78552,39233,39319,54100,1638,569,1069,3971,5118,1798,3320,4856
"G390","1970","Ohio","39","390","Ohio",10652017,5163373,5488644,3738297,6913720,,470404,540381,574349,320693,184823,77980,74052,232876,337735,291574,595607,601305,246309,87114,114242,262455,123869,27605,450626,519093,552836,309915,196790,97182,93780,257499,353951,308562,627334,643774,266005,96538,130994,342125,191121,50519,9646997,970477,6654,27889,,5037643,5368941,919452,1056544,1120864,623493,321992,148385,150529,475822,1276830,1210701,1231791,505187,180676,240930,588757,354631,3720353,943388,,,2682953,9657033,1350212,659924,690288,1000516,26459,8255,18204,48389,142913,51862,91051,122641
"G400","1970","Oklahoma","40","400","Oklahoma",2559229,1246355,1312874,836742,1722487,,100934,121518,129338,75826,47050,22638,21544,60505,80874,67753,136453,136723,61916,23304,33371,80806,36930,8872,96335,116357,124029,72405,46254,22253,21529,58981,81981,71860,146602,145583,69707,27217,38633,101955,55478,15715,2280362,171892,98468,8507,,1190333,1277259,196896,236851,250896,145125,71701,33826,35367,109863,297368,279829,278876,129696,49728,70818,178006,102746,829768,280752,,,676676,2268732,310173,141216,168957,283461,7780,2451,5329,10850,39274,14532,24742,27718
"G410","1970","Oregon","41","410","Oregon",2091385,1023952,1067433,697683,1393702,,83836,99274,107664,65234,35718,15160,14760,45629,68827,57764,110528,118970,54576,19815,25994,62842,30195,7166,80224,95071,103620,62760,39650,19000,18017,50072,70151,57835,115254,124421,56163,20628,27971,73080,41968,11548,2032079,26308,13510,19488,,994219,1039883,163513,193490,209881,125763,61644,29051,29596,92444,251033,223308,240356,109039,39708,52930,132105,80241,692647,212346,,,541820,1844516,258091,118221,139870,226065,5739,1642,4097,7278,28356,10389,17967,16954
"G420","1970","Pennsylvania","42","420","Pennsylvania",11793909,5665414,6128495,3848102,7945807,,472130,552052,595276,341602,196441,81555,77398,236290,343228,293437,655839,721061,312904,112146,147286,340902,153618,32249,454057,530703,573278,329004,208383,100486,95488,261208,362595,315937,711948,794264,345782,127749,172256,449213,236809,59335,10737732,1016514,5533,34130,,5516075,5975624,924102,1078534,1160154,661265,331792,151139,152000,480883,1296521,1352262,1497783,649110,235961,313705,769521,436967,3824055,1206488,,,2999021,10621965,1405729,656608,749121,1160649,30317,9522,20795,77641,153975,54087,99888,182819
"G440","1970","Rhode Island","44","440","Rhode Island",946725,464291,482434,300029,646696,,38878,43903,44935,25107,19074,11409,11437,26230,30154,23586,50594,54943,23523,8376,10902,26445,12267,2528,37157,41971,43354,24724,16775,8562,8103,22222,29165,23690,53108,60212,26745,10084,13870,37471,20031,5190,914757,25338,1390,5240,,427605,467963,75856,85517,87762,49197,25579,12726,13210,40845,101671,101210,113538,49289,18095,24174,61711,35188,298332,96899,,,235183,829677,109544,54083,55461,90968,1885,572,1313,5973,14212,6093,8119,14085
"G450","1970","South Carolina","45","450","South Carolina",2590516,1272087,1318429,955163,1635353,,119257,136951,143442,85585,61488,29189,26036,69209,87770,70928,137071,133167,53632,19159,23512,51993,19397,4301,116507,132291,139261,81869,51939,25438,23648,64682,87134,74413,148929,143952,60456,22916,29725,73231,33389,8649,1794430,789041,2241,4804,,1194997,1291109,235124,268034,280426,163140,85067,39080,37978,119596,311885,281773,273947,112669,41515,52508,122508,60856,946724,183364,,,624230,2351296,311147,153663,157484,208818,10172,3664,6508,14487,43700,15734,27966,40365
"G460","1970","South Dakota","46","460","South Dakota",665507,330033,335474,240920,424587,,27587,34952,37974,22283,12996,5663,5274,13453,17650,15421,33962,35976,16063,6047,8214,22080,11775,2663,26671,33683,36531,21239,13471,6086,5345,12825,17717,16284,34859,35460,16342,6334,8661,24757,15163,4046,630333,1627,32365,1182,,315562,322179,54106,68281,73973,42622,18587,8519,8738,24730,66022,67886,70238,31806,12108,16523,45128,28474,238982,73602,,,160364,587102,82936,39839,43097,61686,1631,577,1054,3474,6572,2485,4087,5642
"G470","1970","Tennessee","47","470","Tennessee",3923687,1897674,2026013,1325727,2597960,,165603,191909,201743,116302,75953,33731,30260,89697,129227,109746,211901,208957,91966,34400,45281,105552,44849,10597,159130,184401,193995,112644,73055,36487,35055,95947,134441,117827,234679,230109,102410,39563,53343,136614,68048,18265,3293930,621261,2276,6220,,1837388,1986749,323976,374897,392901,225355,120053,57476,57026,177745,485552,442599,434422,192086,72990,97311,237438,132310,1317129,369748,,,1020300,3586023,479784,229319,250465,389868,12816,4225,8591,21340,59864,20174,39690,60774
"G480","1970","Texas","48","480","Texas",11196730,5481169,5715561,3999836,7196894,,509173,582548,601908,340774,213440,101765,96147,276138,376590,314424,620846,574782,244312,90007,120045,277285,115125,25860,491336,562702,580801,330594,207944,104297,99722,280438,386051,330031,656739,608716,266164,100261,135976,350473,175501,47815,9717128,1399005,17957,62640,,5285588,5602759,998481,1141568,1174848,661084,351587,168308,167132,521015,1384553,1264208,1172148,504782,187892,252618,613524,324599,3975981,938123,,,2809850,10120834,1393491,685666,707825,1049326,37206,13650,23556,50887,163848,58558,105290,123365
"G490","1970","Utah","49","490","Utah",1059273,523265,536008,423850,635423,,57300,59530,63062,36998,21217,7730,9204,29251,35966,28652,53257,49796,20378,7398,9529,21923,9722,2352,54498,57649,60510,34303,24089,12038,11322,28314,36201,29142,54291,51187,20848,7713,10339,26252,13667,3645,1031926,6617,11273,9457,,507880,522825,111623,116920,123032,69686,36336,16724,17842,53766,128097,106729,100111,40815,14955,19628,47359,27082,421261,74441,,,249244,965531,142976,78121,64855,82062,2325,765,1560,2672,12923,5199,7724,6783
"G500","1970","Vermont","50","500","Vermont",444330,217166,227164,156766,287564,,20294,23523,23715,13014,8919,3886,3755,9762,14452,11979,23046,22444,9906,3836,5231,12395,5668,1341,19364,22382,21937,12537,9927,4262,4006,10338,14472,11769,23636,23849,10693,4255,5653,15975,9235,2874,442553,761,229,787,,207183,216840,39547,45544,45083,25045,11711,5477,5891,18900,51896,46099,45633,20250,7917,10653,27517,16860,155219,44377,,,106296,388664,54685,28668,26017,39129,1388,518,870,2289,5204,2140,3064,4716
"G510","1970","Virginia","51","510","Virginia",4648494,2297121,2351373,1589280,3059214,,199585,232508,241202,135178,89856,50271,49163,132076,167638,139365,270203,258691,101895,35375,44991,99854,40089,9181,192508,224450,233080,130769,85069,43320,42511,122477,167407,141037,279759,271697,108725,39377,52290,133300,66033,17564,3761514,861368,4853,20759,,2153108,2299154,390872,454919,470424,260878,133605,65070,67574,223142,596307,539761,523644,207574,73537,95563,227418,121974,1577093,349392,,,1158597,4140808,575880,278847,297033,420509,13082,4090,8992,23633,67540,24295,43245,61612
"G530","1970","Washington","53","530","Washington",3409169,1693747,1715422,1159774,2249395,,142966,167944,178369,103304,65524,32631,30520,85495,120729,97362,185792,193989,82726,29539,37834,86588,41926,10509,137476,160453,170523,98739,62336,31190,30114,86014,117975,96036,188056,198665,84152,30425,40230,104755,61073,17210,3251055,71308,33386,53420,,1617149,1673998,279989,327587,347030,198375,101529,48801,49214,158521,423760,369226,388398,164689,59003,76645,185607,112773,1152981,298380,,,861689,2984347,424046,201156,222890,341182,9146,2701,6445,11921,50032,19427,30605,26215
"G540","1970","West Virginia","54","540","West Virginia",1744237,844669,899568,580237,1164000,,70768,80914,90439,54372,32462,13218,11879,34966,48115,43107,91439,100688,46288,17095,22964,54502,25332,6121,67481,77724,86432,52107,33445,15842,15227,37521,50097,46998,103471,110078,49981,18682,25963,66421,33206,8892,1673480,67342,751,2664,,824517,880286,137874,158061,175778,105249,53842,24454,24067,70348,186331,193045,208477,95050,35259,48251,118797,69920,576962,188717,,,451717,1587857,209972,98617,111355,178940,6211,2118,4093,10676,22201,7035,15166,26493
"G550","1970","Wisconsin","55","550","Wisconsin",4417731,2167373,2250358,1583643,2834088,,195389,235102,242456,135990,82158,33493,30951,93702,135126,115845,232854,232289,104836,38165,52314,129620,63114,13969,186838,226082,231722,130064,84941,40478,37557,100917,137620,117856,237392,243642,111082,41353,56652,154450,88093,23619,4258959,128224,18924,11624,,2101681,2182021,381748,460019,471648,262352,135192,61350,60568,187148,499545,464543,469219,211905,77796,106413,273254,161002,1575767,434256,,,1072348,3953667,549818,281728,268090,405262,10150,3329,6821,22285,47125,17613,29512,42835
"G560","1970","Wyoming","56","560","Wyoming",332416,166775,165641,120024,212392,,14641,17125,18792,10829,6043,2548,2477,7349,10769,9187,19183,18678,8138,2934,4011,8768,4399,904,13731,16732,17773,10401,5956,2768,2529,7136,10729,9443,19111,18559,8059,2883,3698,9531,5304,1298,323024,2568,4980,1844,,161165,162244,28319,33737,36334,20892,9712,4329,4328,13637,39489,37846,36821,16003,5714,7580,17857,10811,119282,28668,,,84177,298518,43418,21053,22365,32922,1113,352,761,1181,3931,1477,2454,2138
"G010","1980","Alabama","01","010","ALABAMA",3893888,1871534,2022354,1162248,2731640,29.3,150350,160615,167885,114034,76758,37598,35473,104479,154658,138949,207296,183780,87747,33109,43430,118192,47202,9979,146062,153535,160211,109556,77058,38495,37796,107346,160802,144343,222418,205215,102315,39246,53314,160190,80412,24040,2873289,996283,9304,10660,,1830791,1984787,296275,313891,326955,221514,136083,67559,66625,203954,590730,426707,386762,188751,71794,95883,274216,147879,1158635,422095,296197,125898,1038881,3451974,432172,196392,235780,413772,11561,3593,7968,20443,90177,31119,59058,70756
"G020","1980","Alaska","02","020","ALASKA",401851,213041,188810,130745,271106,26.1,20040,17943,17720,11814,8005,4677,4823,14686,25564,22676,29561,18693,6777,1934,2369,4278,1234,247,18909,17100,16562,10657,6678,3727,3905,13272,23081,19487,24461,15550,5840,1738,2055,4034,1382,372,311968,13748,64357,8314,,199816,185775,38856,34959,34074,22034,12432,6539,7072,24800,87163,52876,33703,12384,3584,4347,8026,2742,129923,10768,7674,3094,95564,330779,50577,26584,23993,29767,2810,1086,1724,2138,7973,3154,4819,2299
"G040","1980","Arizona","04","040","ARIZONA",2718215,1337942,1380273,791487,1926728,29.2,109075,107650,111583,74773,53510,27747,26900,78839,119140,104855,147169,121833,61155,23063,34619,92876,36125,7030,104808,103417,107990,72191,51543,26855,26176,77266,116911,102909,150819,129987,71352,27116,39602,109244,49239,12848,2260288,74159,154390,24562,,1306327,1359859,213670,210810,218606,145001,94377,48927,48686,149837,437286,295653,250175,131679,49849,73664,199790,98176,788087,297966,220975,76991,705048,2309065,286511,138285,148226,308316,11722,4244,7478,13726,54161,18098,36063,30612
"G050","1980","Arkansas","05","050","ARKANSAS",2286435,1104688,1181747,671374,1615061,30.6,90138,92287,94932,66267,42374,20088,19408,55517,85136,78989,120449,103357,52325,21087,29593,86203,37406,9132,85454,88078,90559,63659,42022,20852,19842,58062,89177,82035,126966,114402,61252,24503,35148,106244,56270,17222,1889935,373025,12757,7232,,1078142,1156779,175483,180044,184603,128356,73595,35943,35764,109825,331946,245809,216176,112577,45083,64028,188639,107050,668486,295689,206127,89562,625390,2009273,257876,118571,139305,270414,7560,2508,5052,10741,47550,17793,29757,31249
"G060","1980","California","06","060","CALIFORNIA",23667902,11666485,12001417,6388958,17278944,29.9,873639,843750,915240,630185,461499,243276,240503,729289,1132811,1008606,1405997,1157215,573119,200105,267502,648108,271347,64294,834761,806598,880779,604006,434775,224790,223881,694226,1100153,1001445,1408941,1202719,629021,221963,302858,822870,453908,153723,18221353,1818660,231702,1312973,,11309688,11790165,1705545,1647381,1788435,1215141,805860,421813,425740,1363621,4166106,2783609,2338028,1190616,417103,563142,1438725,828988,6356502,2267713,1537121,730592,5936810,19270405,2334114,1110925,1223189,2425727,115758,40782,74976,157947,582853,195302,387551,320411
"G080","1980","Colorado","08","080","COLORADO",2889964,1434293,1455671,808813,2081151,28.6,110954,108961,115145,78210,59399,30958,30726,92635,153566,136128,173905,133931,60307,21058,27836,65555,27695,7324,105541,104174,111002,74826,56153,29418,28764,90105,149035,130816,173048,136929,65404,22632,31073,83111,46601,17039,2591270,101695,21015,34257,,1390755,1424817,216314,212818,225011,150721,94316,52085,53921,176186,563192,344573,269095,124695,43273,58192,145413,85767,804864,231180,156772,74408,739446,2363699,325330,152873,172457,299815,11556,3502,8054,13758,60510,20254,40256,28477
"G090","1980","Connecticut","09","090","CONNECTICUT",3107576,1498005,1609571,822919,2284657,32.0,94479,105508,130582,89380,56895,27411,27470,80481,123182,117419,179457,163863,85285,31062,42016,94818,38384,10313,90709,100250,125701,86310,55798,27819,28072,81129,126078,124454,189845,175038,93427,34927,48665,124899,71034,25416,2811092,216641,4882,21116,,1454049,1564792,184931,205377,255064,173816,95089,46675,48355,155027,484062,365675,335556,176696,65060,89242,213640,124576,819188,338216,237370,100846,814080,2651820,325479,129699,195780,342851,9125,2579,6546,18830,67963,22563,45400,49832
"G100","1980","Delaware","10","100","DELAWARE",594338,286599,307739,166595,427743,29.8,20984,21441,24895,17426,12146,5977,5897,16465,24242,22144,33228,30646,15051,5525,7216,15789,6098,1429,20167,20635,23975,17072,13104,6475,6377,16932,25380,23270,35040,32564,16796,6031,8058,20841,11182,3840,488002,96157,1391,4627,,278360,299879,41128,42039,48680,34067,20065,10440,10997,32151,93972,67786,62902,31659,11474,15120,35916,19843,165914,55759,38348,17411,154900,506690,63488,26835,36653,62325,2544,811,1733,3212,14390,4738,9652,8941
"G110","1980","District of Columbia","11","110","DISTRICT OF COLUMBIA",638333,295417,342916,143491,494842,31.1,17285,18685,21139,15101,12863,6643,6489,19146,31205,26805,35695,29270,15209,5597,7054,18361,7169,1701,17080,17933,20994,15274,14386,7295,7508,22482,35138,29404,38570,34071,18884,6940,9901,27869,14503,4684,174705,448370,1014,6883,,277465,328949,34284,36557,41955,29778,19442,10462,11067,38395,118953,72710,61941,33133,12047,16245,44218,25227,142574,69445,41732,27713,133643,440171,30404,12460,17944,44396,3573,1454,2119,6431,28529,9974,18555,20310
"G120","1980","Florida","12","120","FLORIDA",9746324,4675626,5070698,2359636,7386688,34.7,291286,317254,349914,246476,164982,82328,80297,241620,366758,329786,503959,470166,250526,99429,152485,470453,214918,42989,278938,304280,335102,236386,163496,83346,80759,243077,373090,341777,534819,518994,304683,123935,188803,588700,296160,74353,8184855,1343134,25006,62514,,4553687,4996391,568691,619957,681691,475938,293103,149520,148312,463758,1383360,1026700,981370,551673,221807,339135,1049828,595235,2346277,1645063,1201380,443683,2690122,8163312,875886,370933,504953,1349276,36349,12092,24257,55816,216638,69608,147030,156157
"G130","1980","Georgia","13","130","GEORGIA",5463105,2640445,2822660,1646130,3816975,28.7,212098,228195,239230,161728,111018,53409,51445,151284,234385,218987,316250,252558,114405,42636,55164,137365,49641,10647,202837,218636,230368,153038,104989,53203,51208,155535,246891,229778,331082,275446,132502,50719,67350,193509,96782,28787,3949583,1464435,10079,26009,,2549966,2770112,414753,446474,468153,308840,180337,91532,91565,291950,913754,641399,523989,244713,92246,121056,323642,165675,1638220,489317,340444,148873,1426645,4752470,602997,272762,330235,535122,18476,5945,12531,28910,144833,49130,95703,96307
"G150","1980","Hawaii","15","150","HAWAII",964691,494683,470008,275583,689108,28.4,40004,37555,38459,25498,20175,12870,12814,33386,48864,42990,56449,44887,23502,8270,10601,26375,9973,2011,37844,35502,36411,24310,16463,9039,8982,28591,46423,41324,54967,49557,23881,8092,10831,23000,11241,3550,331925,17687,2976,590659,,463253,461839,77655,72874,74596,48836,29549,16190,16608,54592,174140,109854,93557,46900,16116,21173,48264,24188,273961,72452,58275,14177,226035,814983,101644,49411,52233,84054,4033,1353,2680,6882,17410,6910,10500,12012
"G160","1980","Idaho","16","160","IDAHO",943935,471155,472780,306665,637270,27.6,48073,42392,40501,26044,17956,8845,8766,25876,41803,37079,52876,40528,19934,7581,10863,27937,11201,2900,45458,40342,38717,25138,18844,8840,8436,25471,40658,35862,51450,40921,21248,8239,11514,30355,15711,5576,904045,2711,10523,6721,,460230,464667,93445,82663,79021,50568,32393,15909,15881,49702,153855,103604,80920,40855,15668,22151,57228,31034,305697,88262,62144,26118,246550,820353,116184,61619,54565,100543,3327,1088,2239,3394,16738,6857,9881,6364
"G170","1980","Illinois","17","170","ILLINOIS",11426518,5537537,5888981,3243037,8183481,29.9,430469,434098,469422,322644,221081,108785,105935,318377,488484,427350,631797,563558,283082,99989,136532,324350,137905,33679,411772,415515,449963,309154,214116,109956,107413,322542,497135,441894,661898,597883,310078,114380,159331,437133,247815,81003,9267607,1674467,19612,172213,,5396392,5758663,841238,848576,916583,624828,377880,193794,195900,620556,1831160,1282486,1150721,586780,211492,291443,742202,439416,3231225,1181618,796104,385514,2931117,9747083,1205968,553348,652620,1171605,39544,13790,25754,72428,267156,99393,167763,174416
"G180","1980","Indiana","18","180","INDIANA",5490224,2665825,2824399,1618318,3871906,29.2,214955,221919,232327,158694,107995,53650,52642,150632,229755,202401,301301,266620,131999,45579,62588,151712,65171,15885,203809,211134,222501,152979,109960,54870,54040,152827,233096,209156,312282,283492,146022,52346,73269,198747,115344,38525,5008817,414489,9691,24355,,2594106,2750437,418485,432536,453231,308479,181683,90481,93621,292139,864917,609416,546259,275657,96919,134222,342257,204241,1612731,546498,365420,181078,1455556,4751288,638401,291157,347244,594265,18745,6049,12696,24301,114267,40935,73332,65577
"G190","1980","Iowa","19","190","IOWA",2913808,1416390,1497418,825873,2087935,30.0,113305,107877,118841,82561,57627,28456,27342,79951,123366,103613,149634,137018,69954,25757,36420,94248,47035,13385,108323,103164,112859,78943,58502,29194,27723,79358,119834,102341,153063,144404,75900,29158,41736,120606,80755,31555,2841326,42228,6342,13847,,1374013,1443460,221523,210867,230866,159977,94903,46641,47499,153268,444184,300421,278929,144334,54176,76951,209041,143893,823233,352934,231135,121799,770283,2466012,342301,161205,181096,334826,7707,2483,5224,12420,46047,17538,28509,26982
"G200","1980","Kansas","20","200","KANSAS",2363679,1156941,1206738,649035,1714644,30.1,92984,86823,89670,63174,48310,25495,24240,70160,103213,86831,123643,112874,57852,20760,28661,75568,36487,10196,87893,82192,85693,60606,45631,23654,22722,66517,99458,85116,125997,118555,62080,23448,33164,97843,62910,23259,2170046,126356,17960,17539,,1113641,1169576,180781,168822,174571,121938,75667,40254,40674,129760,368591,247238,229155,118481,43606,60925,169149,113605,646112,282754,187664,95090,635023,1990533,269432,129295,140137,283375,6988,2293,4695,10263,41464,15402,26062,23501
"G210","1980","Kentucky","21","210","KENTUCKY",3660777,1789039,1871738,1082730,2578047,29.1,144779,148353,154689,108288,75605,37358,35276,101830,153713,136724,198527,170890,84360,29821,41188,108397,47915,11326,137952,141058,147056,100555,69991,35479,34902,101274,155625,139564,205993,183362,93973,34388,48376,140591,77889,23710,3380256,259289,4601,11823,,1727994,1829756,282508,289067,300667,203865,120378,61064,61195,192776,577053,401269,351488,176764,63505,88505,243681,143965,1076107,387646,268634,119012,983353,3217582,436629,205021,231608,389135,10873,3282,7591,18089,73393,25870,47523,55234
"G220","1980","Louisiana","22","220","LOUISIANA",4205900,2039894,2166006,1330468,2875432,27.4,183668,175871,188922,127078,86696,43886,42328,123624,182871,153772,218522,187497,88440,32185,41931,109469,43835,9299,177865,170095,182873,124096,88287,44940,42547,122951,185861,158255,231697,206409,100838,37414,50202,145432,75008,21236,2915310,1238472,12932,25123,,1985542,2124122,361246,345527,370205,248097,152765,78943,77769,237011,670260,445979,390784,187650,68794,91029,249305,134300,1325075,383605,263036,120569,1068835,3679333,465394,227874,237520,386388,15535,6093,9442,23740,107308,42358,64950,70470
"G230","1980","Maine","23","230","MAINE",1124660,546235,578425,321387,803273,30.4,40177,43264,48258,32968,21773,10442,10173,28285,45334,43356,61142,54405,26716,9871,13837,35916,16359,3959,38337,40915,46019,31449,21222,10343,10014,29181,46908,43201,61583,57616,29850,11076,16027,46372,28172,10140,1112977,3381,4365,3073,,526857,560865,78452,84068,93875,63582,34183,16468,16909,54579,176525,121532,110942,55922,20622,29404,80163,50496,319977,130659,88237,42422,293936,950761,127879,55908,71971,120410,3822,1212,2610,5410,22463,7797,14666,13952
"G240","1980","Maryland","24","240","MARYLAND",4216975,2042810,2174165,1167530,3049445,30.3,139363,149606,181707,125345,79899,39789,38874,114589,180711,172115,257545,218160,104727,36907,47902,105908,40690,8973,132911,143310,174871,120417,79350,40319,39843,118977,190425,182328,269522,228328,117955,41162,54409,141301,75045,23692,3166142,957418,9075,67949,,1988016,2134531,272046,292623,355478,242312,140973,70573,70820,223935,714577,522633,443342,220900,77278,101169,242002,131886,1162459,373888,263899,109989,1089559,3600718,441580,180877,260703,421210,19200,6481,12719,26481,108534,32069,76465,72554
"G250","1980","Massachusetts","25","250","MASSACHUSETTS",5737037,2730893,3006144,1490389,4246648,31.2,173029,191602,235669,161775,113084,55888,55389,159436,239341,217649,304427,280655,145603,53524,72799,174258,76658,20107,164186,183132,225663,155333,118047,59565,57930,164694,249834,228746,322873,304180,165392,62327,88734,248357,153350,53801,5378403,221029,9198,52615,,2639345,2898040,337005,374195,459709,313499,182540,94043,96821,308989,922551,620423,577910,306516,113779,158215,409537,261653,1484408,671190,451407,219783,1438602,4754825,568252,236269,331983,584361,15527,4039,11488,37600,129907,41894,88013,102955
"G260","1980","Michigan","26","260","MICHIGAN",9262078,4516189,4745889,2751986,6510092,28.8,350158,372134,409805,274401,180810,90090,89137,262199,399270,348315,504721,452040,225704,77483,106339,244615,103661,25307,334955,354986,392069,263478,182588,92755,91552,268697,407648,360054,524278,478891,245707,87755,121801,311895,170434,56346,7893278,1197177,44919,62641,,4414256,4649885,684694,726332,799518,533049,316686,164047,168480,516358,1496854,1020961,923964,467279,163508,225355,543835,313221,2743593,857056,587066,269990,2392504,7982298,1017250,449675,567575,930765,33158,10191,22967,50151,237076,88669,148407,124104
"G270","1980","Minnesota","27","270","MINNESOTA",4075970,1997826,2078144,1171808,2904162,29.2,157312,151556,170607,120455,81799,40455,38539,115841,182607,156565,224105,188036,92356,33096,47425,120115,59974,16983,149937,144739,162771,114431,83133,41828,40261,116642,180828,156539,225111,192214,97101,36773,53344,150033,96653,35806,3942025,52325,36730,32226,,1944739,2012776,306861,295843,331974,232429,141502,71522,71403,225272,669205,445329,376381,187123,68839,99138,261905,172789,1167107,434694,287550,147144,1037522,3417113,481070,221985,259085,416462,11844,3704,8140,20875,67546,24914,42632,39725
"G280","1980","Mississippi","28","280","MISSISSIPPI",2520638,1213878,1306760,814197,1706441,27.7,109699,111432,115552,78336,52654,25294,23578,66616,96364,84132,125266,108446,51548,20577,26397,77656,32747,7584,105580,107616,110724,75258,52630,25897,24092,68028,100765,88278,135239,123373,61220,23939,32751,102293,53152,15925,1615632,887111,6914,7749,,1178404,1276669,215142,218793,225198,151112,88021,43482,42044,128060,364228,258276,229958,111741,43948,58263,176655,100152,810245,276807,193109,83698,642704,2233227,271879,130719,141160,241639,8688,3003,5685,13839,61632,23674,37958,45027
